repository_name,type,event_date,total_events
BVLC/caffe,IssueCommentEvent,2017-07-03,5
BVLC/caffe,IssueCommentEvent,2016-12-10,5
BVLC/caffe,IssueCommentEvent,2016-03-12,5
BVLC/caffe,IssueCommentEvent,2017-10-04,5
BVLC/caffe,IssueCommentEvent,2016-03-27,5
BVLC/caffe,IssueCommentEvent,2017-01-15,5
BVLC/caffe,IssueCommentEvent,2017-09-07,5
BVLC/caffe,IssueCommentEvent,2015-03-22,5
BVLC/caffe,IssueCommentEvent,2016-01-10,5
BVLC/caffe,IssueCommentEvent,2018-02-07,5
BVLC/caffe,IssueCommentEvent,2017-11-21,5
BVLC/caffe,IssueCommentEvent,2015-05-24,5
BVLC/caffe,IssueCommentEvent,2015-11-01,5
BVLC/caffe,IssueCommentEvent,2015-05-03,5
BVLC/caffe,IssueCommentEvent,2017-10-28,5
BVLC/caffe,IssueCommentEvent,2017-05-01,5
BVLC/caffe,IssueCommentEvent,2017-02-14,5
BVLC/caffe,IssueCommentEvent,2017-08-21,5
BVLC/caffe,IssueCommentEvent,2017-07-24,5
BVLC/caffe,IssueCommentEvent,2018-06-01,5
BVLC/caffe,IssueCommentEvent,2015-04-26,5
BVLC/caffe,IssueCommentEvent,2015-10-10,5
BVLC/caffe,IssueCommentEvent,2018-03-28,5
BVLC/caffe,IssueCommentEvent,2018-02-18,5
BVLC/caffe,WatchEvent,2015-09-06,5
BVLC/caffe,WatchEvent,2018-03-03,5
BVLC/caffe,IssueCommentEvent,2018-02-15,5
BVLC/caffe,IssueCommentEvent,2017-12-04,5
BVLC/caffe,IssueCommentEvent,2017-05-05,5
BVLC/caffe,IssueCommentEvent,2015-12-24,5
BVLC/caffe,IssueCommentEvent,2018-04-13,5
BVLC/caffe,IssueCommentEvent,2016-11-26,5
BVLC/caffe,IssueCommentEvent,2017-03-04,5
BVLC/caffe,IssueCommentEvent,2015-11-14,5
BVLC/caffe,IssueCommentEvent,2017-08-06,5
BVLC/caffe,IssueCommentEvent,2018-01-24,5
BVLC/caffe,IssueCommentEvent,2018-03-11,5
BVLC/caffe,IssueCommentEvent,2016-03-19,5
